 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)
          27         149         152   1.57702994       1.04641032       21.8308277    
          27         189         192   1.23221898       1.01388359       27.2127056    
          27         193         196   2.03201008       1.03472352       26.2640362    
          27         197         200   1.54612601       1.03459477       27.0860634    
          27         201         204   2.17861176       1.04618156       27.5698223    
          28           9          12  0.711226642       1.06286442       23.2161274    
          28          13          16  0.710190952       1.00425172       24.9042225    
          28          33          36   1.79650557       1.00496972       22.6176453    
          28          45          48   1.26789749       1.03603089       29.6039791    
          28          49          52   1.03289652       1.09346056       28.4085140    
          28          89          92   1.15263140       1.03889906       28.1361599    
          28          97         100   1.32613444       1.03749347       25.7474270    
          28         101         104   1.37903452       1.05367529       26.5745487    
          28         121         124   1.16511655       1.04105425       29.2816391    
          28         149         152   1.65886390       1.02704000       24.8731251    
          28         189         192   1.26070774       1.07399678       29.7000427    
          28         193         196   2.06920886       1.04428267       28.3312664    
          28         197         200   1.51594758       1.03243995       22.8080730    
          28         225         228   1.38366711       1.01625156       27.3789215    
          28         253         256   1.25009155       1.03052795       29.2027187    
          29           5           8   1.15126991       1.04127216       28.6275024    
          29           9          12  0.670111358       1.02125287       24.0972023    
          29          17          20   1.22617412       1.01292562       29.5830154    
          29          33          36   1.79768693       1.06079626       26.1624584    
          29          45          48   1.23461783       1.02827346       27.0838661    
          29          89          92   1.15817404       1.03847754       27.8889236    
          29         101         104   1.30256474       1.05375981       29.1032124    
          29         121         124   1.13007832       1.01862812       28.5828953    
          29         149         152   1.75442302       1.05073392       19.9907951    
          29         189         192   1.34667969       1.01253748       23.8848934    
          29         197         200   1.48318219       1.04457378       27.2388954    
          29         201         204   2.09706163       1.02502048       24.7075081    
          29         213         216   1.18725336       1.04996014       24.3969822    
          29         241         244  0.411952078       1.04674673       29.4030342    
          29         249         252   1.23955965       1.01866901       28.9720306    
          29         253         256   1.31468737       1.07108259       27.3637486    
          30           9          12  0.744513571       1.04720724       25.3280277    
          30          13          16  0.900361657       1.04152644       24.2601032    
          30          17          20   1.22510386       1.02931404       28.6893101    
          30          33          36   1.76661050       1.03928936       25.9312572    
          30          45          48   1.17404485       1.07137847       29.7810612    
          30          61          64   1.41863596       1.04388046       28.8724709    
          30          97         100   1.13075888       1.04414642       25.7239075    
          30         101         104   1.24684823       1.00451553       28.2046146    
          30         109         112   1.33412838       1.04661024       28.4596939    
          30         121         124   1.11584055       1.05895317       29.0030823    
          30         149         152   1.72985554       1.03148913       23.5655746    
          30         161         164   1.10993528       1.06041479       29.1978836    
          30         189         192   1.45000219       1.02441955       25.7721748    
          30         193         196   2.03060603       1.03891480       26.8642235    
          30         197         200   1.50048649       1.02369010       29.3096676    
          30         205         208   1.63178253      0.998019338       29.9655876    
          30         225         228   1.53580558       1.05344224       29.1629353    
          30         253         256   1.34591651      0.996677279       29.8533344    
          31           9          12  0.822897434       1.05241692       25.7779694    
          31          33          36   1.68859375       1.01103008       27.1148739    
          31          49          52  0.957245529       1.10122645       27.3612976    
          31          89          92   1.08625734       1.02680635       29.6923485    
          31          97         100   1.04766035       1.02896428       28.6770172    
          31         101         104   1.21700084       1.07178402       28.7721958    
          31         121         124   1.05121088       1.02053189       27.0237999    
          31         133         136  0.547435403       1.04647064       29.5072346    
          31         149         152   1.69568121       1.04151762       25.4094753    
          31         185         188   1.14076805       1.04047167       28.6382999    
          31         189         192   1.50130427       1.05960763       27.3713169    
          31         197         200   1.49572611       1.04574847       26.9445629    
          31         213         216   1.22143269       1.07539785       27.8545818    
          31         229         232  0.587602496       1.07178473       26.7631435    
          31         253         256   1.28558254       1.05608094       28.0977383    
          32           5           8   1.01408601       1.03867519       28.2790222    
          32           9          12  0.816989303       1.01591063       27.3708725    
          32          17          20   1.17428696       1.01260960       28.6092319    
          32          25          28   1.35772169       1.01274753       29.9373989    
          32          33          36   1.58016729       1.07512128       26.6852341    
          32          45          48   1.23228657       1.04665828       29.2066650    
          32          97         100  0.949397326       1.03739774       29.6175079    
          32         109         112   1.27477872       1.02842557       26.1028519    
          32         149         152   1.77177358       1.04703379       22.0162125    
          32         189         192   1.51202273       1.00807703       25.2614136    
          32         201         204   1.91983545       1.04951012       24.2962437    
          32         213         216   1.22020376       1.02646542       27.7593422    
          32         249         252   1.20604110       1.00672412       29.8129807    
          32         253         256   1.22009468       1.05679524       24.7970257    
          33          13          16   1.00847292       1.05200613       25.3419285    
          33          49          52   1.01443410       1.06510973       25.8561668    
          33          97         100  0.851518393       1.04259121       24.6741505    
          33         101         104   1.09174812       1.02557778       28.1020222    
          33         109         112   1.23056304       1.05048525       24.7685890    
          33         121         124   1.02458942       1.05861270       27.0786667    
          33         149         152   1.87106240       1.03193605       22.3557796    
          33         189         192   1.50109601       1.03954911       26.1000576    
          33         253         256   1.22295558      0.999443352       23.6134930    
          34           5           8  0.843368292       1.05840218       28.7881165    
          34          25          28   1.37125409       1.06400645       29.5520916    
          34          33          36   1.52025044       1.02863812       29.2597103    
          34          45          48   1.16197395       1.01565468       29.8051720    
          34          49          52   1.02158237       1.05744064       28.1293297    
          34         109         112   1.21647477       1.03240824       26.5669479    
          34         121         124   1.03882730       1.02673626       29.8317661    
          34         145         148  0.860349774       1.05868781       25.3595200    
          34         149         152   1.93607926       1.04438949       22.2570152    
          34         157         160  0.940452814       1.03015041       29.6518593    
          34         189         192   1.53027201       1.05414629       27.4948196    
          34         201         204   1.78215683       1.01357806       26.5916557    
          34         213         216   1.32311165       1.06999409       29.1562538    
          34         229         232  0.662135601       1.03207338       26.0531178    
